,users,values,time,fails,response_time_50,response_time_95
0,11,0.0,12:03:31,0.0,3.0,5.0
1,22,882.3333333333334,12:03:36,882.3333333333334,9.0,16.0
2,36,1005.2222222222222,12:03:41,1005.2222222222222,13.0,22.0
3,51,1263.6,12:03:46,1263.6,24.0,37.0
4,66,1276.0,12:03:51,1276.0,39.0,51.0
5,76,1269.6,12:03:56,1269.6,46.0,59.0
6,91,1264.6,12:04:01,1264.6,57.0,71.0
7,106,1259.8,12:04:06,1259.8,71.0,86.0
8,121,1256.5,12:04:11,1256.5,77.0,94.0
9,136,1254.2,12:04:16,1254.2,92.0,110.0
10,151,1245.4,12:04:21,1245.4,110.0,130.0
11,151,1242.7,12:04:26,1242.7,110.0,130.0
