,users,values,time
227,10,13.4,14:15:12
228,10,13.7,14:15:17
229,10,12.3,14:15:22
230,10,12.4,14:15:27
231,10,13.0,14:15:32
232,10,13.4,14:15:37
233,10,12.9,14:15:42
234,10,12.5,14:15:47
235,10,12.7,14:15:52
236,10,12.2,14:15:57
237,10,12.1,14:16:02
238,10,12.1,14:16:07
239,10,13.0,14:16:12
240,10,13.5,14:16:17
241,10,13.0,14:16:22
242,10,12.9,14:16:27
243,10,12.5,14:16:32
244,10,12.7,14:16:37
245,10,13.2,14:16:42
246,10,13.0,14:16:47
247,10,12.5,14:16:52
248,10,12.3,14:16:57
249,10,13.0,14:17:02
250,10,12.2,14:17:07
251,10,12.1,14:17:12
252,10,12.6,14:17:17
253,10,12.3,14:17:22
254,10,13.0,14:17:27
255,10,12.5,14:17:32
256,10,12.8,14:17:37
257,10,13.1,14:17:42
258,10,13.1,14:17:47
259,10,13.5,14:17:52
260,10,13.4,14:17:57
261,10,12.5,14:18:02
262,10,13.0,14:18:07
263,10,12.2,14:18:12
264,10,12.4,14:18:17
265,10,13.2,14:18:22
266,10,13.1,14:18:27
267,10,12.8,14:18:32
268,10,12.0,14:18:37
269,10,12.1,14:18:42
270,10,13.2,14:18:47
271,10,13.5,14:18:52
272,10,13.3,14:18:57
273,10,12.9,14:19:02
274,10,12.4,14:19:07
275,10,11.9,14:19:12
276,10,12.5,14:19:17
277,10,12.8,14:19:22
278,10,12.6,14:19:27
279,10,12.6,14:19:32
280,10,12.4,14:19:37
281,10,12.0,14:19:42
282,10,12.8,14:19:47
283,10,12.6,14:19:52
284,10,12.2,14:19:57
285,10,12.9,14:20:02
286,10,13.2,14:20:07
287,10,12.7,14:20:12
288,10,13.5,14:20:17
289,10,13.1,14:20:22
290,10,12.8,14:20:27
291,10,13.1,14:20:32
292,10,13.0,14:20:37
293,10,12.5,14:20:42
294,10,12.2,14:20:47
295,10,13.5,14:20:52
296,10,14.0,14:20:57
297,10,13.4,14:21:02
298,10,11.6,14:21:07
299,10,12.2,14:21:12
300,10,13.0,14:21:17
301,10,12.8,14:21:22
302,10,12.4,14:21:27
303,10,12.2,14:21:32
304,10,12.0,14:21:37
305,10,12.4,14:21:42
306,10,12.6,14:21:47
307,10,12.7,14:21:52
308,10,13.3,14:21:57
309,10,13.4,14:22:02
310,10,12.7,14:22:07
311,10,12.7,14:22:12
312,10,11.7,14:22:17
313,10,11.6,14:22:22
314,10,12.1,14:22:27
