,users,values,time,fails,response_time_50,response_time_95
0,6,0.0,11:24:15,0.0,0.0,0.0
1,30,954.0,11:24:20,954.0,12.0,21.0
2,46,1073.875,11:24:25,1073.875,17.0,30.0
3,71,1284.2,11:24:30,1284.2,33.0,49.0
4,91,1286.6,11:24:35,1286.6,54.0,70.0
5,111,1281.7,11:24:40,1281.7,64.0,81.0
6,131,1274.2,11:24:45,1274.2,82.0,100.0
7,151,1272.6,11:24:50,1272.6,97.0,120.0
8,151,1258.5,11:24:55,1258.5,110.0,130.0
9,151,1232.6,11:25:00,1232.6,120.0,140.0
10,151,1241.2,11:25:05,1241.2,110.0,130.0
11,151,1269.9,11:25:10,1269.9,110.0,130.0
12,151,1269.4,11:25:15,1269.4,110.0,130.0
13,151,1271.6,11:25:20,1271.6,110.0,130.0
14,151,1265.0,11:25:25,1265.0,110.0,130.0
15,151,1268.6,11:25:30,1268.6,110.0,130.0
16,151,1269.0,11:25:35,1269.0,110.0,130.0
17,151,1273.2,11:25:40,1273.2,110.0,130.0
18,151,1267.4,11:25:45,1267.4,110.0,130.0
19,151,1270.3,11:25:50,1270.3,110.0,130.0
20,151,1269.3,11:25:55,1269.3,110.0,130.0
21,151,1272.2,11:26:00,1272.2,110.0,130.0
22,151,1271.8,11:26:05,1271.8,110.0,130.0
23,151,1273.6,11:26:10,1273.6,110.0,130.0
24,151,1273.8,11:26:15,1273.8,110.0,130.0
25,151,1275.7,11:26:20,1275.7,110.0,130.0
26,151,1268.2,11:26:25,1268.2,110.0,130.0
27,151,1268.7,11:26:30,1268.7,110.0,130.0
28,151,1272.5,11:26:35,1272.5,110.0,130.0
29,151,1273.9,11:26:40,1273.9,110.0,130.0
30,151,1271.5,11:26:45,1271.6,110.0,130.0
31,151,1269.9,11:26:50,1269.9,110.0,130.0
32,151,1269.6,11:26:55,1269.6,110.0,130.0
33,151,1269.5,11:27:00,1269.5,110.0,130.0
34,151,1267.5,11:27:05,1267.5,110.0,130.0
35,151,1271.7,11:27:10,1271.7,110.0,130.0
36,151,1269.4,11:27:15,1269.4,110.0,130.0
37,151,1270.4,11:27:20,1270.4,110.0,130.0
38,151,1269.4,11:27:25,1269.4,110.0,130.0
39,151,1272.0,11:27:30,1272.0,110.0,130.0
40,151,1270.7,11:27:35,1270.7,110.0,130.0
41,151,1269.5,11:27:40,1269.5,110.0,130.0
42,151,1271.2,11:27:45,1271.2,110.0,130.0
43,151,1272.2,11:27:50,1272.2,110.0,130.0
44,151,1270.4,11:27:55,1270.4,110.0,130.0
45,151,1273.0,11:28:00,1273.0,110.0,130.0
46,151,1274.2,11:28:05,1274.2,110.0,130.0
47,151,1273.7,11:28:10,1273.7,110.0,130.0
48,151,1272.8,11:28:15,1272.8,110.0,130.0
49,151,1271.0,11:28:20,1271.0,110.0,130.0
50,151,1259.7,11:28:25,1259.7,120.0,130.0
51,128,1256.2,11:28:30,1256.2,110.0,130.0
52,113,1260.8,11:28:35,1260.8,98.0,120.0
53,84,1269.0,11:28:40,1269.0,80.0,100.0
54,81,1278.8,11:28:45,1278.8,58.0,76.0
55,101,1279.0,11:28:50,1279.0,59.0,75.0
56,121,1281.1,11:28:55,1281.1,74.0,93.0
57,141,1269.7,11:29:00,1269.7,95.0,110.0
