,users,values,time,fails
0,3,0.0,13:43:51,0
1,7,30.0,13:43:56,0
2,10,27.75,13:44:01,0
3,14,26.0,13:44:06,0
4,18,24.8,13:44:11,0
5,22,21.5,13:44:16,0
6,26,22.1,13:44:21,0
7,30,26.2,13:44:26,0
8,31,27.0,13:44:31,0
