,users,values,time,fails,response_time_50,response_time_95
0,16,0.0,09:45:31,0.0,2,640.0
1,31,5.75,09:45:36,5.75,2,230.0
2,51,13.4,09:45:41,13.4,1,2.0
3,66,27.4,09:45:46,27.4,1,2.0
4,86,34.3,09:45:51,34.3,1,2.0
5,106,49.1,09:45:56,49.1,1,2.0
6,121,64.0,09:46:01,64.0,1,2.0
7,141,71.7,09:46:06,71.7,1,2.0
8,151,86.1,09:46:11,86.1,1,2.0
