,users,values,time
0,0,0.0,12:47:11
1,6,20.0,12:47:16
2,10,25.571428571428573,12:47:21
3,10,36.5,12:47:26
4,10,37.3,12:47:31
5,10,37.5,12:47:36
6,10,39.0,12:47:41
7,10,37.2,12:47:46
8,10,34.6,12:47:51
9,10,36.5,12:47:56
10,10,36.8,12:48:01
11,10,36.7,12:48:06
12,10,34.8,12:48:11
13,10,33.9,12:48:16
14,10,34.8,12:48:21
15,10,38.1,12:48:26
16,10,26.9,12:48:31
17,10,33.6,12:48:36
18,10,35.3,12:48:41
19,10,34.7,12:48:46
20,10,36.5,12:48:51
21,10,33.2,12:48:56
22,10,31.8,12:49:01
23,10,31.0,12:49:06
24,10,29.8,12:49:11
25,10,36.6,12:49:16
26,10,35.4,12:49:21
27,10,34.9,12:49:27
28,10,35.2,12:49:32
29,10,37.4,12:49:37
30,10,38.5,12:49:42
31,10,34.0,12:49:47
32,10,34.0,12:49:52
33,10,34.1,12:49:57
34,10,35.8,12:50:02
35,10,33.1,12:50:07
36,10,32.2,12:50:12
37,10,37.1,12:50:17
38,10,34.5,12:50:22
39,10,34.7,12:50:27
40,10,33.6,12:50:32
41,10,34.3,12:50:37
42,10,37.6,12:50:42
43,10,36.0,12:50:47
44,10,36.1,12:50:52
45,10,38.8,12:50:57
46,10,39.1,12:51:02
47,10,33.8,12:51:07
48,10,34.7,12:51:12
49,10,32.5,12:51:17
50,10,29.8,12:51:22
51,10,32.5,12:51:27
52,10,37.7,12:51:32
53,10,34.6,12:51:37
54,10,32.7,12:51:42
55,10,37.2,12:51:47
56,10,38.8,12:51:52
57,10,38.2,12:51:57
58,10,37.8,12:52:02
59,10,35.4,12:52:07
60,10,35.1,12:52:12
61,10,37.2,12:52:17
62,10,40.9,12:52:22
63,10,39.5,12:52:27
64,10,35.0,12:52:32
65,10,35.0,12:52:37
66,10,38.1,12:52:42
67,10,39.4,12:52:47
68,10,35.8,12:52:52
69,10,33.6,12:52:57
70,10,34.0,12:53:03
71,10,39.6,12:53:08
72,10,39.1,12:53:13
73,10,36.5,12:53:18
74,10,37.3,12:53:23
75,10,35.2,12:53:28
76,10,34.5,12:53:33
77,10,37.8,12:53:38
78,10,38.6,12:53:43
79,10,39.3,12:53:48
80,10,37.0,12:53:53
81,10,34.6,12:53:58
82,10,40.2,12:54:03
83,10,39.6,12:54:08
84,10,34.6,12:54:13
85,10,32.9,12:54:18
86,10,33.3,12:54:23
87,10,38.6,12:54:28
88,10,34.6,12:54:33
89,10,34.7,12:54:38
90,10,32.9,12:54:43
91,10,34.3,12:54:48
92,10,36.7,12:54:53
93,10,39.1,12:54:58
94,10,35.5,12:55:03
95,10,32.5,12:55:08
96,10,33.3,12:55:13
97,10,33.6,12:55:18
98,10,38.2,12:55:23
99,10,39.5,12:55:28
100,10,40.1,12:55:33
101,10,35.2,12:55:38
102,10,40.0,12:55:43
103,10,41.1,12:55:48
104,10,37.8,12:55:53
105,10,39.9,12:55:58
106,10,40.2,12:56:03
107,10,39.4,12:56:08
108,10,40.9,12:56:13
109,10,37.4,12:56:18
110,10,37.3,12:56:23
111,10,33.2,12:56:28
112,10,33.2,12:56:33
113,10,35.9,12:56:38
114,10,37.6,12:56:43
115,10,38.9,12:56:48
116,10,37.5,12:56:53
117,10,36.2,12:56:58
118,10,36.6,12:57:03
119,10,33.2,12:57:08
120,10,37.4,12:57:13
