,users,values,time,fails,response_time_50,response_time_95
0,16,0.0,12:37:06,0.0,4.0,6.0
1,31,1017.1666666666666,12:37:11,1017.1666666666666,11.0,19.0
2,46,1254.3,12:37:16,1254.3,22.0,33.0
3,61,1263.7,12:37:21,1263.7,30.0,41.0
4,76,1290.8,12:37:26,1290.8,46.0,60.0
5,96,1280.6,12:37:31,1280.6,60.0,75.0
6,111,1282.5,12:37:36,1282.5,67.0,86.0
7,126,1273.3,12:37:41,1273.3,82.0,100.0
8,146,1264.5,12:37:46,1264.5,100.0,120.0
9,151,1259.1,12:37:51,1259.1,110.0,130.0
10,151,1231.9,12:37:56,1231.9,120.0,140.0
