"Time","CPU","Memory"
2021-06-18T15:37:08.499,367049323,39251968
2021-06-18T15:37:09.512,392585737,40398848
2021-06-18T15:37:10.517,398991816,40275968
2021-06-18T15:37:11.522,405085205,40292352
2021-06-18T15:37:12.527,411272508,40288256
2021-06-18T15:37:13.533,417333363,40288256
2021-06-18T15:37:14.538,423520531,40300544
2021-06-18T15:37:15.544,429873897,40292352
2021-06-18T15:37:16.549,436075369,40304640
2021-06-18T15:37:17.554,442217789,40341504
2021-06-18T15:37:18.559,448615938,40353792
2021-06-18T15:37:19.565,454841820,40366080
2021-06-18T15:37:20.570,461058778,40366080
2021-06-18T15:37:21.575,467352775,40357888
2021-06-18T15:37:22.580,473598481,40345600
2021-06-18T15:37:23.589,479852826,40374272
2021-06-18T15:37:24.594,486175716,40370176
2021-06-18T15:37:25.600,492402608,40357888
2021-06-18T15:37:26.605,498522449,40357888
2021-06-18T15:37:27.610,504686620,40361984
2021-06-18T15:37:28.616,510975716,40353792
2021-06-18T15:37:29.621,517088965,40374272
2021-06-18T15:37:30.626,523292060,40374272
2021-06-18T15:37:31.631,529592543,40370176
2021-06-18T15:37:32.636,535626807,40386560
2021-06-18T15:37:33.642,541827614,40386560
2021-06-18T15:37:34.647,548242431,40402944
2021-06-18T15:37:35.652,554445383,40382464
2021-06-18T15:37:36.657,560526565,40386560
2021-06-18T15:37:37.662,566776254,40374272
2021-06-18T15:37:38.667,572939124,40374272
2021-06-18T15:37:39.672,579113722,40390656
2021-06-18T15:37:40.678,585307143,40386560
2021-06-18T15:37:41.683,591559149,40386560
2021-06-18T15:37:42.688,597825202,40370176
2021-06-18T15:37:43.693,604020034,40382464
2021-06-18T15:37:44.698,610175395,40321024
2021-06-18T15:37:45.705,616262171,40316928
2021-06-18T15:37:46.710,622354710,40321024
2021-06-18T15:37:47.715,628431503,40337408
2021-06-18T15:37:48.721,634553103,40316928
2021-06-18T15:37:49.726,640922511,40325120
2021-06-18T15:37:50.731,647268404,40325120
2021-06-18T15:37:51.736,653531313,40341504
2021-06-18T15:37:52.741,659722414,40349696
2021-06-18T15:37:53.747,665850853,40353792
2021-06-18T15:37:54.752,672152099,40374272
2021-06-18T15:37:55.757,678226632,40374272
2021-06-18T15:37:56.762,684354876,40357888
2021-06-18T15:37:57.767,690436636,40361984
2021-06-18T15:37:58.776,699980848,40873984
2021-06-18T15:37:59.782,716534057,41091072
2021-06-18T15:38:00.788,722496808,41066496
2021-06-18T15:38:01.800,729703058,41058304
2021-06-18T15:38:02.808,736813301,41041920
2021-06-18T15:38:03.813,742810858,41058304
2021-06-18T15:38:04.822,752217743,41058304
2021-06-18T15:38:05.828,759430050,41062400
2021-06-18T15:38:06.833,766560132,41062400
2021-06-18T15:38:07.839,772423742,41074688
2021-06-18T15:38:08.845,781496353,41095168
2021-06-18T15:38:09.852,787457542,41095168
2021-06-18T15:38:10.865,796404492,41095168
2021-06-18T15:38:11.871,802377070,41095168
2021-06-18T15:38:12.877,811527324,41078784
2021-06-18T15:38:13.882,820954145,41074688
2021-06-18T15:38:14.888,829843704,41099264
2021-06-18T15:38:15.903,835823828,41111552
2021-06-18T15:38:16.909,844905025,41095168
2021-06-18T15:38:17.915,850987951,41078784
2021-06-18T15:38:18.921,857706062,41062400
2021-06-18T15:38:19.927,865620822,41066496
2021-06-18T15:38:20.932,871529511,41066496
2021-06-18T15:38:21.939,878161452,41078784
2021-06-18T15:38:22.946,899655938,41111552
2021-06-18T15:38:23.952,905879550,41111552
2021-06-18T15:38:24.959,912997335,41095168
2021-06-18T15:38:25.965,918917387,41095168
2021-06-18T15:38:26.971,927852075,41099264
2021-06-18T15:38:27.978,934475699,41111552
2021-06-18T15:38:28.984,945329232,41115648
2021-06-18T15:38:29.992,951236714,41099264
2021-06-18T15:38:31.002,958794280,41095168
2021-06-18T15:38:32.008,966798667,41086976
2021-06-18T15:38:33.014,972698393,41078784
2021-06-18T15:38:34.020,984036752,41086976
2021-06-18T15:38:35.026,989930622,41078784
2021-06-18T15:38:36.032,996481263,41078784
