,users,values,time
0,0,0.0,14:15:57
1,6,28.5,14:16:02
2,10,30.285714285714285,14:16:07
3,10,35.3,14:16:12
4,10,33.1,14:16:17
5,10,33.4,14:16:22
6,10,36.9,14:16:27
7,10,37.9,14:16:32
8,10,37.3,14:16:37
9,10,29.8,14:16:42
10,10,31.3,14:16:47
11,10,36.0,14:16:52
12,10,37.1,14:16:57
13,10,35.9,14:17:02
14,10,33.9,14:17:07
15,10,33.3,14:17:12
16,10,33.2,14:17:17
17,10,32.6,14:17:22
18,10,32.6,14:17:27
19,10,32.5,14:17:32
20,10,35.3,14:17:37
21,10,39.6,14:17:42
22,10,38.8,14:17:47
23,10,37.6,14:17:52
24,10,37.1,14:17:57
25,10,39.3,14:18:02
26,10,41.2,14:18:07
27,10,37.5,14:18:12
28,10,35.3,14:18:17
29,10,39.5,14:18:22
30,10,38.8,14:18:27
31,10,29.7,14:18:32
32,10,29.6,14:18:37
33,10,36.0,14:18:42
34,10,35.6,14:18:47
35,10,32.9,14:18:52
36,10,29.3,14:18:57
37,10,29.8,14:19:02
38,10,29.4,14:19:07
39,10,33.3,14:19:12
40,10,35.7,14:19:17
41,10,38.4,14:19:22
42,10,43.1,14:19:27
43,10,40.3,14:19:32
44,10,38.2,14:19:37
45,10,35.5,14:19:42
46,10,35.2,14:19:47
47,10,36.3,14:19:52
48,10,38.0,14:19:57
49,10,35.9,14:20:02
50,10,35.0,14:20:07
51,10,35.2,14:20:12
52,10,38.2,14:20:17
53,10,35.4,14:20:22
54,10,33.8,14:20:27
55,10,37.2,14:20:32
56,10,39.9,14:20:37
57,10,38.7,14:20:42
58,10,36.8,14:20:47
59,10,37.4,14:20:52
60,10,35.6,14:20:57
61,10,34.5,14:21:02
62,10,35.7,14:21:07
63,10,35.3,14:21:12
64,10,34.7,14:21:17
65,10,37.5,14:21:22
66,10,36.8,14:21:27
67,10,35.5,14:21:32
68,10,35.6,14:21:37
69,10,35.3,14:21:42
70,10,32.1,14:21:47
71,10,33.2,14:21:52
72,10,31.0,14:21:57
73,10,32.0,14:22:02
74,10,33.5,14:22:07
75,10,33.1,14:22:12
76,10,32.9,14:22:17
77,10,35.7,14:22:22
78,10,32.6,14:22:27
79,10,36.8,14:22:32
80,10,39.1,14:22:37
81,10,36.4,14:22:42
82,10,36.7,14:22:47
83,10,36.2,14:22:52
84,10,37.5,14:22:57
85,10,30.8,14:23:02
86,10,29.6,14:23:07
87,10,36.0,14:23:12
88,10,33.9,14:23:17
89,10,31.3,14:23:22
90,10,30.1,14:23:27
91,10,30.8,14:23:32
92,10,30.5,14:23:37
93,10,34.4,14:23:42
94,10,33.3,14:23:47
95,10,33.9,14:23:52
96,10,34.8,14:23:57
97,10,40.1,14:24:02
98,10,36.6,14:24:07
99,10,35.6,14:24:12
100,10,36.6,14:24:17
101,10,33.8,14:24:22
102,10,29.5,14:24:27
103,10,28.1,14:24:32
104,10,31.5,14:24:37
105,10,35.2,14:24:42
106,10,36.5,14:24:47
107,10,37.1,14:24:52
108,10,32.2,14:24:57
109,10,31.0,14:25:02
110,10,28.5,14:25:07
111,10,31.9,14:25:12
112,10,33.7,14:25:17
113,10,32.0,14:25:22
114,10,32.7,14:25:27
115,10,35.0,14:25:32
116,10,36.8,14:25:37
117,10,34.0,14:25:42
118,10,32.8,14:25:47
119,10,32.1,14:25:52
120,10,34.9,14:25:57
121,10,41.2,14:26:02
122,10,40.1,14:26:07
123,10,36.6,14:26:12
124,10,31.2,14:26:17
125,10,28.9,14:26:22
126,10,36.8,14:26:27
127,10,35.0,14:26:32
128,10,29.2,14:26:37
129,10,28.8,14:26:42
130,10,35.5,14:26:47
131,10,39.0,14:26:52
132,10,35.9,14:26:57
133,10,35.7,14:27:02
134,10,38.2,14:27:07
135,10,34.3,14:27:12
136,10,35.2,14:27:17
137,10,36.2,14:27:22
138,10,37.9,14:27:27
139,10,35.8,14:27:32
140,10,32.0,14:27:37
141,10,34.6,14:27:42
142,10,36.0,14:27:47
143,10,35.2,14:27:52
144,10,33.9,14:27:57
145,10,36.1,14:28:02
146,10,35.2,14:28:07
147,10,31.0,14:28:12
148,10,30.2,14:28:17
149,10,34.2,14:28:22
150,10,35.2,14:28:27
151,10,35.1,14:28:32
152,10,33.2,14:28:37
153,10,33.7,14:28:42
154,10,35.2,14:28:47
155,10,33.8,14:28:52
156,10,39.4,14:28:57
157,10,39.2,14:29:02
158,10,34.5,14:29:07
159,10,30.8,14:29:12
160,10,36.6,14:29:17
161,10,31.6,14:29:22
162,10,27.3,14:29:27
163,10,34.5,14:29:32
164,10,33.5,14:29:37
165,10,33.9,14:29:42
166,10,36.3,14:29:47
167,10,34.3,14:29:52
168,10,30.5,14:29:57
169,10,31.4,14:30:02
170,10,34.7,14:30:07
171,10,40.5,14:30:12
172,10,31.7,14:30:17
173,10,29.8,14:30:22
174,10,32.5,14:30:27
175,10,32.9,14:30:32
