,users,values,time,fails,response_time_50,response_time_95
0,1,0.0,09:24:17,0,0.0,0.0
1,16,3.6666666666666665,09:24:22,0,190.0,400.0
2,31,5.5,09:24:27,0,410.0,800.0
3,46,7.4,09:24:32,0,800.0,2000.0
4,61,7.9,09:24:37,0,1900.0,7900.0
5,76,8.0,09:24:42,0,1900.0,8200.0
6,91,8.4,09:24:47,0,1800.0,9100.0
7,106,8.3,09:24:52,0,1800.0,11000.0
8,126,8.5,09:24:57,0,1800.0,15000.0
9,146,8.8,09:25:02,0,1700.0,11000.0
10,151,9.1,09:25:07,0,1700.0,16000.0
