Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,878,19,1800.0,7390.3752212748905,25.331740966066718,130663.77858282067,9385.406605922552,6.178976584527586,0.13371361629387715,1800,3700,4100,7900,16000,33000,66000,129000,131000,131000,131000
,Aggregated,878,19,1800.0,7390.3752212748905,25.331740966066718,130663.77858282067,9385.406605922552,6.178976584527586,0.13371361629387715,1800,3700,4100,7900,16000,33000,66000,129000,131000,131000,131000
