,users,values,time,fails,response_time_50,response_time_95
0,6,0.0,13:26:56,0.0,2.0,5.0
1,16,671.75,13:27:01,671.75,5.0,9.0
2,26,1007.0,13:27:06,1007.0,11.0,17.0
3,41,1255.1,13:27:11,1255.1,19.0,32.0
4,56,1264.9,13:27:16,1264.9,30.0,40.0
5,66,1272.4,13:27:21,1272.4,39.0,51.0
6,86,1264.0,13:27:26,1264.0,50.0,66.0
7,96,1268.3,13:27:31,1268.3,64.0,78.0
8,116,1262.4,13:27:36,1262.4,73.0,88.0
9,131,1255.4,13:27:41,1255.4,89.0,110.0
10,146,1247.5,13:27:46,1247.5,98.0,120.0
11,151,1230.0,13:27:51,1230.0,110.0,140.0
