Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,57167,57167,64,65.06468983243141,1.6262209974229336,1040.6153679359704,0.0,1227.0901464660597,1227.0901464660597,64,85,98,100,120,120,130,140,160,160,1000
,Aggregated,57167,57167,64,65.06468983243141,1.6262209974229336,1040.6153679359704,0.0,1227.0901464660597,1227.0901464660597,64,85,98,100,120,120,130,140,160,160,1000
