,users,values,time,fails,response_time_50,response_time_95
0,3,0.0,15:52:00,0.0,110.0,150.0
1,7,7.0,15:52:05,0.0,110.0,150.0
2,11,9.11111111111111,15:52:10,0.0,110.0,150.0
3,16,9.9,15:52:15,0.0,110.0,150.0
4,20,9.8,15:52:20,0.0,110.0,150.0
5,24,9.6,15:52:25,0.0,110.0,150.0
6,28,9.4,15:52:30,0.0,120.0,160.0
7,32,9.6,15:52:35,0.0,110.0,150.0
8,36,9.8,15:52:40,0.0,120.0,160.0
9,40,9.3,15:52:45,0.0,110.0,150.0
10,44,9.6,15:52:50,0.0,100.0,150.0
11,48,10.4,15:52:55,0.0,100.0,150.0
12,53,10.0,15:53:00,0.0,110.0,150.0
13,57,9.5,15:53:05,0.0,110.0,150.0
14,61,9.5,15:53:10,0.0,110.0,150.0
15,65,9.8,15:53:15,0.0,100.0,150.0
16,69,10.4,15:53:20,0.0,80.0,150.0
17,73,10.6,15:53:25,0.0,100.0,150.0
18,77,10.0,15:53:30,0.0,110.0,150.0
19,81,9.7,15:53:35,0.0,99.0,150.0
20,85,9.9,15:53:40,0.0,100.0,150.0
21,90,9.3,15:53:45,0.0,110.0,150.0
22,94,9.6,15:53:50,0.0,100.0,150.0
23,98,9.9,15:53:55,0.0,110.0,150.0
24,102,9.5,15:54:00,0.0,120.0,150.0
25,106,9.5,15:54:05,0.0,110.0,150.0
26,110,10.0,15:54:10,0.0,110.0,150.0
27,114,9.7,15:54:15,0.0,110.0,150.0
28,118,9.6,15:54:20,0.0,110.0,160.0
29,123,10.2,15:54:25,0.5,110.0,130000.0
30,127,10.3,15:54:30,0.9,120.0,130000.0
31,131,10.2,15:54:35,0.8,110.0,130000.0
32,135,10.7,15:54:40,0.8,110.0,130000.0
33,139,10.7,15:54:45,0.8,110.0,130000.0
34,143,11.1,15:54:50,0.8,110.0,130000.0
35,147,11.1,15:54:55,0.8,110.0,130000.0
36,151,10.8,15:55:00,0.8,110.0,129000.0
37,155,11.1,15:55:05,0.8,110.0,130000.0
38,160,10.9,15:55:10,0.8,120.0,130000.0
39,164,10.2,15:55:15,0.9,120.0,130000.0
40,168,10.1,15:55:20,0.8,110.0,130000.0
41,172,11.0,15:55:25,0.8,120.0,130000.0
42,176,10.0,15:55:30,0.8,120.0,130000.0
43,180,10.3,15:55:35,0.8,110.0,130000.0
44,184,10.9,15:55:40,0.8,120.0,130000.0
45,188,11.0,15:55:45,0.8,100.0,130000.0
46,193,10.9,15:55:50,0.8,110.0,130000.0
47,197,10.5,15:55:55,0.8,110.0,130000.0
48,201,10.9,15:56:00,0.8,110.0,130000.0
49,205,10.7,15:56:05,0.8,120.0,130000.0
50,209,10.7,15:56:10,0.8,110.0,130000.0
51,213,11.0,15:56:15,0.8,110.0,130000.0
52,217,11.0,15:56:20,0.8,110.0,130000.0
53,221,10.8,15:56:25,0.8,120.0,130000.0
54,225,10.4,15:56:30,0.8,120.0,131000.0
55,230,11.1,15:56:35,1.2,110.0,131000.0
56,234,11.7,15:56:40,1.8,120.0,131000.0
57,238,10.7,15:56:45,1.4,120.0,131000.0
58,242,11.5,15:56:50,1.7,110.0,131000.0
59,246,12.1,15:56:55,1.7,110.0,131000.0
60,250,11.5,15:57:00,1.7,120.0,131000.0
61,254,11.2,15:57:05,1.6,120.0,131000.0
62,258,11.3,15:57:10,1.6,110.0,131000.0
63,263,11.3,15:57:15,1.6,110.0,131000.0
64,267,11.8,15:57:20,1.8,120.0,131000.0
65,271,11.5,15:57:25,1.8,110.0,131000.0
66,275,11.3,15:57:30,1.4,110.0,131000.0
67,279,11.9,15:57:35,1.7,110.0,131000.0
68,283,12.2,15:57:40,1.7,110.0,131000.0
69,287,12.2,15:57:45,1.8,100.0,131000.0
70,291,12.2,15:57:50,1.6,110.0,131000.0
71,296,11.8,15:57:55,1.6,120.0,131000.0
72,300,11.6,15:58:00,1.6,110.0,131000.0
73,304,12.0,15:58:05,1.8,110.0,131000.0
74,308,12.1,15:58:10,1.8,120.0,131000.0
75,312,10.7,15:58:15,1.4,120.0,131000.0
76,316,11.3,15:58:20,1.7,110.0,131000.0
77,320,11.4,15:58:25,1.8,120.0,131000.0
78,324,11.4,15:58:30,1.8,110.0,131000.0
79,328,11.8,15:58:35,1.6,110.0,131000.0
80,333,11.7,15:58:40,1.6,120.0,131000.0
81,337,11.7,15:58:45,2.0,110.0,131000.0
82,341,12.4,15:58:50,2.5,120.0,131000.0
83,345,11.7,15:58:55,2.1,130.0,131000.0
84,349,11.7,15:59:00,2.0,120.0,131000.0
85,353,12.3,15:59:05,2.6,120.0,131000.0
86,357,12.6,15:59:10,2.6,120.0,131000.0
87,361,12.7,15:59:15,2.6,120.0,131000.0
88,366,12.4,15:59:20,2.5,120.0,131000.0
89,370,12.9,15:59:25,2.6,120.0,131000.0
90,374,13.2,15:59:30,2.7,120.0,131000.0
91,378,12.7,15:59:35,2.5,120.0,131000.0
92,382,11.6,15:59:40,1.9,120.0,131000.0
93,386,11.4,15:59:45,1.9,130.0,131000.0
94,390,12.2,15:59:50,2.6,130.0,131000.0
95,394,12.4,15:59:55,2.6,120.0,131000.0
96,398,12.7,16:00:00,2.6,120.0,131000.0
97,402,13.0,16:00:05,2.7,120.0,131000.0
98,406,12.7,16:00:10,2.7,120.0,131000.0
99,411,12.7,16:00:15,2.7,120.0,131000.0
100,415,11.7,16:00:20,1.8,120.0,131000.0
101,419,11.3,16:00:25,1.9,120.0,131000.0
102,423,12.1,16:00:30,2.6,120.0,131000.0
103,427,12.6,16:00:35,2.6,120.0,131000.0
104,431,12.7,16:00:40,2.5,120.0,131000.0
105,435,12.2,16:00:45,2.4,130.0,131000.0
106,439,12.2,16:00:50,2.7,130.0,131000.0
107,444,12.2,16:00:55,2.9,130.0,131000.0
108,448,12.8,16:01:00,3.4,130.0,131000.0
109,452,12.1,16:01:05,2.6,130.0,131000.0
110,456,12.4,16:01:10,2.8,130.0,131000.0
111,460,13.5,16:01:15,3.5,120.0,131000.0
112,464,13.4,16:01:20,3.2,120.0,131000.0
113,468,13.6,16:01:25,3.2,120.0,131000.0
114,472,13.6,16:01:30,3.2,120.0,131000.0
115,476,13.7,16:01:35,3.5,120.0,131000.0
116,479,13.8,16:01:40,3.5,120.0,131000.0
117,483,13.5,16:01:45,3.4,120.0,131000.0
118,487,13.0,16:01:50,2.7,130.0,131000.0
119,491,13.2,16:01:55,3.6,130.0,131000.0
120,495,13.4,16:02:00,3.5,120.0,131000.0
121,500,13.2,16:02:05,3.2,110.0,131000.0
122,504,13.3,16:02:10,3.2,130.0,131000.0
123,508,13.4,16:02:15,3.3,120.0,131000.0
124,512,13.5,16:02:20,3.3,130.0,131000.0
125,516,13.1,16:02:25,3.3,120.0,131000.0
126,520,13.3,16:02:30,3.3,120.0,131000.0
127,524,13.1,16:02:35,2.7,120.0,131000.0
128,528,13.7,16:02:40,3.5,120.0,131000.0
129,532,13.5,16:02:45,3.5,120.0,131000.0
130,537,13.4,16:02:50,3.3,130.0,131000.0
131,541,12.9,16:02:55,3.2,130.0,131000.0
132,545,13.2,16:03:00,3.2,130.0,131000.0
133,549,13.4,16:03:05,3.3,120.0,131000.0
134,553,13.6,16:03:10,3.8,120.0,131000.0
135,557,14.1,16:03:15,4.2,130.0,131000.0
136,561,13.3,16:03:20,3.5,130.0,131000.0
137,565,13.5,16:03:25,4.3,140.0,131000.0
138,569,13.6,16:03:30,4.1,130.0,131000.0
139,574,13.6,16:03:35,4.1,130.0,131000.0
140,578,13.4,16:03:40,4.1,130.0,131000.0
141,582,13.8,16:03:45,4.2,140.0,131000.0
142,586,13.4,16:03:50,4.1,130.0,131000.0
143,590,13.4,16:03:55,3.8,130.0,131000.0
144,594,13.8,16:04:00,4.0,130.0,131000.0
145,598,13.9,16:04:05,4.1,130.0,131000.0
146,601,13.7,16:04:10,4.1,130.0,131000.0
