Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,58389,58389,63,63.9128800476358,1.0071250144392252,1019.8354641906917,0.0,1233.0391871753404,1233.0391871753404,63,83,96,100,120,120,130,130,150,160,1000
,Aggregated,58389,58389,63,63.9128800476358,1.0071250144392252,1019.8354641906917,0.0,1233.0391871753404,1233.0391871753404,63,83,96,100,120,120,130,130,150,160,1000
