"Time","CPU","Memory"
2021-06-21T09:18:19.738,1069719795,9097216
2021-06-21T09:18:20.744,2236329848,42172416
2021-06-21T09:18:21.751,2933514391,42119168
2021-06-21T09:18:22.756,2939213483,42131456
2021-06-21T09:18:23.761,2945026214,42139648
2021-06-21T09:18:24.765,2950446050,42164224
2021-06-21T09:18:25.770,2956238142,42172416
2021-06-21T09:18:26.775,2961972810,42160128
2021-06-21T09:18:27.779,2967594196,42151936
2021-06-21T09:18:28.784,2973487693,42151936
2021-06-21T09:18:29.789,2979232157,42156032
2021-06-21T09:18:30.794,2985228824,42168320
2021-06-21T09:18:31.798,2990726877,42156032
2021-06-21T09:18:32.803,2996670314,42188800
2021-06-21T09:18:33.808,3002410602,42176512
2021-06-21T09:18:34.813,3008244991,42172416
2021-06-21T09:18:35.817,3014355778,42176512
2021-06-21T09:18:36.822,3019975180,42176512
2021-06-21T09:18:37.826,3025728077,42176512
2021-06-21T09:18:38.831,3031511861,42180608
2021-06-21T09:18:39.836,3036953756,42188800
2021-06-21T09:18:40.851,3043003942,42168320
2021-06-21T09:18:41.856,3048751650,42168320
2021-06-21T09:18:42.861,3054510829,42172416
2021-06-21T09:18:43.865,3060417705,42176512
2021-06-21T09:18:44.870,3066334351,42188800
2021-06-21T09:18:45.874,3072222388,42180608
2021-06-21T09:18:46.879,3077684918,42188800
2021-06-21T09:18:47.884,3083504407,42205184
2021-06-21T09:18:48.889,3089494934,42242048
2021-06-21T09:18:49.894,3095089688,42246144
2021-06-21T09:18:50.899,3100851680,42274816
2021-06-21T09:18:51.912,3937069414,43237376
2021-06-21T09:18:52.940,4890862561,43573248
2021-06-21T09:18:53.948,5850594898,43769856
2021-06-21T09:18:54.960,6771203679,44146688
2021-06-21T09:18:55.976,7733235862,44367872
2021-06-21T09:18:57.005,8684908580,44412928
2021-06-21T09:18:58.035,9637607155,44736512
2021-06-21T09:18:59.047,10594658580,45084672
2021-06-21T09:19:00.064,11513821703,45187072
2021-06-21T09:19:01.096,12440208585,45457408
2021-06-21T09:19:02.123,13366378380,45735936
2021-06-21T09:19:03.142,14299686191,45973504
2021-06-21T09:19:04.164,15242721525,46329856
2021-06-21T09:19:05.188,16182101541,46469120
2021-06-21T09:19:06.212,17144964549,46714880
2021-06-21T09:19:07.232,18098403909,46989312
2021-06-21T09:19:08.252,19031304726,47341568
2021-06-21T09:19:09.280,19977967634,47558656
2021-06-21T09:19:10.304,20892120309,47820800
2021-06-21T09:19:11.320,21783560029,48037888
2021-06-21T09:19:12.333,22679683698,48189440
2021-06-21T09:19:13.356,23620233376,48402432
2021-06-21T09:19:14.380,24573515521,48644096
2021-06-21T09:19:15.393,25493112389,48959488
2021-06-21T09:19:16.405,26416781022,49143808
2021-06-21T09:19:17.435,27356524732,49287168
2021-06-21T09:19:18.460,28255285033,49602560
2021-06-21T09:19:19.480,29200290238,50008064
2021-06-21T09:19:20.496,30084546571,50081792
2021-06-21T09:19:21.516,30992732423,50401280
2021-06-21T09:19:22.533,31966144112,50708480
2021-06-21T09:19:23.656,32961154513,50810880
2021-06-21T09:19:24.674,33897970468,51044352
2021-06-21T09:19:25.688,34841387424,51179520
2021-06-21T09:19:26.708,35768330140,51466240
2021-06-21T09:19:27.746,36731566195,51740672
2021-06-21T09:19:28.768,37695207949,51945472
2021-06-21T09:19:29.784,38625793386,52273152
2021-06-21T09:19:30.813,39561429003,52441088
2021-06-21T09:19:31.836,40525192260,52695040
2021-06-21T09:19:32.857,41347477447,52772864
2021-06-21T09:19:33.880,42192914175,52764672
