Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,61828,61828,65,66.49997116903663,1.0508638806641102,1033.2956400234252,0.0,1237.873703762325,1237.873703762325,65,88,100,110,120,120,130,130,160,170,1000
,Aggregated,61828,61828,65,66.49997116903663,1.0508638806641102,1033.2956400234252,0.0,1237.873703762325,1237.873703762325,65,88,100,110,120,120,130,130,160,170,1000
