,users,values,time,fails
0,16,6.0,13:48:49,0
1,36,19.571428571428573,13:48:55,0
2,56,21.9,13:49:00,0
3,76,26.4,13:49:05,0
4,96,25.1,13:49:10,0
5,116,25.6,13:49:15,0
6,136,25.1,13:49:20,0
7,151,23.5,13:49:25,0
