,users,values,time
0,2,0.0,10:03:26
1,8,13.333333333333334,10:03:31
2,10,16.1,10:03:36
3,10,15.4,10:03:41
4,10,17.0,10:03:46
5,10,16.5,10:03:51
6,10,16.1,10:03:56
7,10,15.7,10:04:01
8,10,15.3,10:04:06
9,10,15.5,10:04:11
10,10,15.3,10:04:16
11,10,14.7,10:04:21
12,10,15.3,10:04:26
13,10,16.6,10:04:31
14,10,16.0,10:04:36
15,10,16.2,10:04:41
16,10,15.6,10:04:46
17,10,14.3,10:04:51
18,10,15.1,10:04:56
19,10,15.9,10:05:01
20,10,15.7,10:05:06
21,10,16.1,10:05:11
22,10,15.0,10:05:16
23,10,14.6,10:05:21
24,10,15.6,10:05:26
25,10,16.2,10:05:31
26,10,14.8,10:05:36
27,10,15.4,10:05:41
28,10,15.1,10:05:46
29,10,14.6,10:05:51
30,10,14.6,10:05:56
31,10,16.0,10:06:01
32,10,15.9,10:06:06
33,10,15.3,10:06:11
34,10,15.4,10:06:16
35,10,15.8,10:06:21
36,10,15.5,10:06:26
37,10,15.7,10:06:31
38,10,16.4,10:06:36
39,10,15.7,10:06:41
40,10,13.8,10:06:46
41,10,14.1,10:06:51
42,10,14.0,10:06:56
43,10,14.7,10:07:01
44,10,16.7,10:07:06
45,10,17.1,10:07:11
46,10,15.6,10:07:16
47,10,15.4,10:07:21
48,10,15.6,10:07:26
49,10,16.4,10:07:31
50,10,14.5,10:07:36
51,10,14.2,10:07:41
52,10,13.9,10:07:46
53,10,16.0,10:07:51
54,10,16.2,10:07:56
55,10,16.2,10:08:01
56,10,14.7,10:08:06
57,10,13.6,10:08:11
58,10,15.3,10:08:16
59,10,15.8,10:08:21
60,10,16.0,10:08:26
61,10,16.9,10:08:31
62,10,15.6,10:08:36
63,10,14.0,10:08:41
64,10,13.7,10:08:46
65,10,13.4,10:08:51
66,10,13.4,10:08:56
67,10,12.7,10:09:01
68,10,12.8,10:09:06
69,10,13.6,10:09:11
70,10,14.7,10:09:16
71,10,15.5,10:09:21
72,10,15.7,10:09:26
73,10,14.5,10:09:31
74,10,15.4,10:09:36
75,10,15.0,10:09:41
76,10,15.8,10:09:46
77,10,14.2,10:09:51
78,10,14.5,10:09:56
79,10,14.9,10:10:01
80,10,15.3,10:10:06
81,10,16.2,10:10:11
82,10,14.8,10:10:16
83,10,13.5,10:10:21
84,10,15.9,10:10:26
85,10,16.2,10:10:31
86,10,14.0,10:10:36
87,10,14.4,10:10:41
88,10,14.5,10:10:46
89,10,13.5,10:10:51
90,10,13.6,10:10:56
91,10,14.8,10:11:01
92,10,13.4,10:11:06
93,10,13.3,10:11:11
94,10,15.0,10:11:16
95,10,13.1,10:11:21
96,10,14.3,10:11:26
97,10,15.9,10:11:31
98,10,14.6,10:11:36
99,10,14.9,10:11:41
100,10,16.0,10:11:46
101,10,14.5,10:11:51
102,10,14.1,10:11:56
103,10,15.0,10:12:01
104,10,15.9,10:12:06
105,10,15.5,10:12:11
106,10,15.2,10:12:16
107,10,14.8,10:12:21
108,10,14.6,10:12:26
109,10,15.5,10:12:31
110,10,15.9,10:12:36
111,10,15.9,10:12:41
112,10,14.2,10:12:46
113,10,14.1,10:12:51
114,10,14.6,10:12:56
115,10,14.8,10:13:01
116,10,14.6,10:13:06
117,10,15.3,10:13:11
118,10,17.0,10:13:16
119,10,15.2,10:13:21
120,10,14.6,10:13:26
