,users,values,time
0,3,7.0,09:53:07
1,6,15.0,09:53:12
2,10,15.4,09:53:17
3,10,16.2,09:53:22
4,10,15.8,09:53:27
5,10,14.3,09:53:32
6,10,15.7,09:53:37
7,10,17.1,09:53:42
8,10,15.0,09:53:47
9,10,15.4,09:53:52
10,10,15.2,09:53:57
11,10,14.7,09:54:02
12,10,13.6,09:54:07
13,10,15.0,09:54:12
14,10,15.0,09:54:17
15,10,15.2,09:54:22
16,10,15.7,09:54:27
17,10,15.8,09:54:32
18,10,14.8,09:54:37
19,10,15.2,09:54:42
20,10,16.4,09:54:47
21,10,16.3,09:54:52
22,10,15.0,09:54:57
23,10,14.9,09:55:02
24,10,15.1,09:55:07
25,10,16.1,09:55:12
26,10,16.3,09:55:17
27,10,16.0,09:55:22
28,10,16.4,09:55:27
29,10,15.7,09:55:32
30,10,14.7,09:55:37
31,10,14.3,09:55:42
32,10,14.5,09:55:47
33,10,16.2,09:55:52
34,10,17.0,09:55:57
35,10,16.6,09:56:02
36,10,15.7,09:56:07
37,10,15.0,09:56:12
38,10,15.6,09:56:17
39,10,15.2,09:56:22
40,10,14.2,09:56:27
41,10,14.3,09:56:32
42,10,13.9,09:56:37
43,10,13.5,09:56:42
44,10,14.0,09:56:47
45,10,15.5,09:56:52
46,10,15.2,09:56:57
47,10,13.5,09:57:02
48,10,14.9,09:57:07
49,10,15.4,09:57:12
50,10,14.4,09:57:17
51,10,13.9,09:57:22
52,10,14.9,09:57:27
53,10,15.8,09:57:32
54,10,16.6,09:57:37
55,10,16.9,09:57:42
56,10,16.5,09:57:47
57,10,15.8,09:57:52
58,10,15.1,09:57:57
59,10,16.2,09:58:02
60,10,16.8,09:58:07
