,users,values,time,fails,response_time_50,response_time_95
0,6,0.0,11:48:38,0.0,4.0,5.0
1,21,896.6666666666666,11:48:43,896.6666666666666,8.0,15.0
2,31,1014.3333333333334,11:48:48,1014.3333333333334,12.0,20.0
3,46,1260.1,11:48:53,1260.1,22.0,32.0
4,61,1277.0,11:48:58,1277.0,37.0,49.0
5,76,1281.7,11:49:03,1281.7,42.0,56.0
6,91,1278.7,11:49:08,1278.7,56.0,70.0
7,106,1262.2,11:49:13,1262.2,71.0,88.0
8,121,1257.6,11:49:18,1257.6,78.0,96.0
9,136,1265.2,11:49:23,1265.2,91.0,110.0
10,151,1252.7,11:49:28,1252.7,110.0,120.0
11,151,1248.0,11:49:33,1248.0,110.0,140.0
