,users,values,time
0,0,0.0,15:22:13
1,5,23.333333333333332,15:22:18
2,10,26.555555555555557,15:22:23
3,10,30.6,15:22:28
4,10,35.8,15:22:33
5,10,34.7,15:22:38
6,10,37.7,15:22:43
7,10,37.0,15:22:48
8,10,33.8,15:22:53
9,10,35.1,15:22:58
10,10,35.2,15:23:03
11,10,30.0,15:23:08
12,10,30.1,15:23:13
13,10,35.3,15:23:18
14,10,33.3,15:23:23
15,10,34.3,15:23:28
16,10,34.3,15:23:33
17,10,26.3,15:23:38
18,10,27.7,15:23:43
19,10,31.4,15:23:48
20,10,34.4,15:23:53
21,10,32.0,15:23:58
22,10,35.8,15:24:03
23,10,34.6,15:24:08
24,10,32.6,15:24:13
25,10,34.2,15:24:18
26,10,35.6,15:24:23
27,10,35.8,15:24:28
28,10,38.0,15:24:33
29,10,34.3,15:24:38
30,10,29.8,15:24:43
31,10,33.8,15:24:48
32,10,33.5,15:24:53
33,10,30.0,15:24:58
34,10,34.3,15:25:03
35,10,39.6,15:25:08
36,10,39.6,15:25:13
