Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,67041,67041,72,70.2682176458836,1.9573259633034468,1030.6995098944753,0.0,1243.326433580667,1243.326433580667,72,97,100,110,120,120,130,130,150,160,1000
,Aggregated,67041,67041,72,70.2682176458836,1.9573259633034468,1030.6995098944753,0.0,1243.326433580667,1243.326433580667,72,97,100,110,120,120,130,130,150,160,1000
