,users,values,time
0,0,0.0,15:30:53
1,11,25.0,15:30:58
2,11,29.333333333333332,15:31:03
3,11,33.1,15:31:08
4,11,36.4,15:31:13
5,11,34.4,15:31:18
6,11,34.6,15:31:23
7,11,30.6,15:31:28
8,11,30.6,15:31:33
9,11,30.1,15:31:38
10,11,32.1,15:31:43
11,11,34.0,15:31:48
12,11,36.5,15:31:53
13,11,36.2,15:31:58
14,11,36.0,15:32:03
15,11,35.7,15:32:08
16,11,38.9,15:32:13
17,11,37.1,15:32:18
18,11,37.1,15:32:23
19,11,36.3,15:32:28
20,11,34.9,15:32:33
21,11,36.4,15:32:38
22,11,31.9,15:32:43
23,11,26.4,15:32:48
24,11,27.5,15:32:53
25,11,31.0,15:32:58
26,11,36.1,15:33:03
27,11,36.9,15:33:08
28,11,35.6,15:33:13
29,11,36.7,15:33:18
30,11,36.6,15:33:23
31,11,37.7,15:33:28
32,11,30.5,15:33:33
33,11,28.2,15:33:38
34,11,32.2,15:33:43
35,11,37.0,15:33:48
36,11,35.3,15:33:53
37,11,35.2,15:33:58
38,11,33.5,15:34:03
39,11,31.7,15:34:08
40,11,35.6,15:34:13
41,11,33.1,15:34:18
42,11,33.5,15:34:23
43,11,35.9,15:34:28
44,11,34.6,15:34:33
